Data,Dia da Semana,Feriado
4/21/2053,segunda-feira,Tiradentes
5/1/2053,quinta-feira,Dia do Trabalho
6/5/2053,quinta-feira,Corpus Christi
9/7/2053,domingo,Independência do Brasil
10/12/2053,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2053,domingo,Finados
11/15/2053,sábado,Proclamação da República
12/25/2053,quinta-feira,Natal
1/1/2054,quinta-feira,Confraternização Universal
2/9/2054,segunda-feira,Carnaval
2/10/2054,terça-feira,Carnaval
3/27/2054,sexta-feira,Paixão de Cristo
4/21/2054,terça-feira,Tiradentes
5/1/2054,sexta-feira,Dia do Trabalho
5/28/2054,quinta-feira,Corpus Christi
9/7/2054,segunda-feira,Independência do Brasil
10/12/2054,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2054,segunda-feira,Finados
11/15/2054,domingo,Proclamação da República
12/25/2054,sexta-feira,Natal
1/1/2055,sexta-feira,Confraternização Universal
3/1/2055,segunda-feira,Carnaval
3/2/2055,terça-feira,Carnaval
4/16/2055,sexta-feira,Paixão de Cristo
4/21/2055,quarta-feira,Tiradentes
5/1/2055,sábado,Dia do Trabalho
6/17/2055,quinta-feira,Corpus Christi
9/7/2055,terça-feira,Independência do Brasil
10/12/2055,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2055,terça-feira,Finados
11/15/2055,segunda-feira,Proclamação da República
12/25/2055,sábado,Natal
1/1/2056,sábado,Confraternização Universal
2/14/2056,segunda-feira,Carnaval
2/15/2056,terça-feira,Carnaval
3/31/2056,sexta-feira,Paixão de Cristo
4/21/2056,sexta-feira,Tiradentes
5/1/2056,segunda-feira,Dia do Trabalho
6/1/2056,quinta-feira,Corpus Christi
9/7/2056,quinta-feira,Independência do Brasil
10/12/2056,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2056,quinta-feira,Finados
11/15/2056,quarta-feira,Proclamação da República
12/25/2056,segunda-feira,Natal
1/1/2057,segunda-feira,Confraternização Universal
3/5/2057,segunda-feira,Carnaval
3/6/2057,terça-feira,Carnaval
4/20/2057,sexta-feira,Paixão de Cristo
4/21/2057,sábado,Tiradentes
5/1/2057,terça-feira,Dia do Trabalho
6/21/2057,quinta-feira,Corpus Christi
9/7/2057,sexta-feira,Independência do Brasil
10/12/2057,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2057,sexta-feira,Finados
11/15/2057,quinta-feira,Proclamação da República
12/25/2057,terça-feira,Natal
1/1/2058,terça-feira,Confraternização Universal
2/25/2058,segunda-feira,Carnaval
2/26/2058,terça-feira,Carnaval
4/12/2058,sexta-feira,Paixão de Cristo
4/21/2058,domingo,Tiradentes
5/1/2058,quarta-feira,Dia do Trabalho
6/13/2058,quinta-feira,Corpus Christi
9/7/2058,sábado,Independência do Brasil
10/12/2058,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2058,sábado,Finados
11/15/2058,sexta-feira,Proclamação da República
12/25/2058,quarta-feira,Natal
1/1/2059,quarta-feira,Confraternização Universal
2/10/2059,segunda-feira,Carnaval
2/11/2059,terça-feira,Carnaval
3/28/2059,sexta-feira,Paixão de Cristo
4/21/2059,segunda-feira,Tiradentes
5/1/2059,quinta-feira,Dia do Trabalho
5/29/2059,quinta-feira,Corpus Christi
9/7/2059,domingo,Independência do Brasil
10/12/2059,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2059,domingo,Finados
11/15/2059,sábado,Proclamação da República
12/25/2059,quinta-feira,Natal
1/1/2060,quinta-feira,Confraternização Universal
3/1/2060,segunda-feira,Carnaval
3/2/2060,terça-feira,Carnaval
4/16/2060,sexta-feira,Paixão de Cristo
4/21/2060,quarta-feira,Tiradentes
5/1/2060,sábado,Dia do Trabalho
6/17/2060,quinta-feira,Corpus Christi
9/7/2060,terça-feira,Independência do Brasil
10/12/2060,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2060,terça-feira,Finados
11/15/2060,segunda-feira,Proclamação da República
12/25/2060,sábado,Natal
1/1/2061,sábado,Confraternização Universal
2/21/2061,segunda-feira,Carnaval
2/22/2061,terça-feira,Carnaval
4/8/2061,sexta-feira,Paixão de Cristo
4/21/2061,quinta-feira,Tiradentes
5/1/2061,domingo,Dia do Trabalho
6/9/2061,quinta-feira,Corpus Christi
9/7/2061,quarta-feira,Independência do Brasil
10/12/2061,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2061,quarta-feira,Finados
11/15/2061,terça-feira,Proclamação da República
12/25/2061,domingo,Natal
1/1/2062,domingo,Confraternização Universal
2/6/2062,segunda-feira,Carnaval
2/7/2062,terça-feira,Carnaval
3/24/2062,sexta-feira,Paixão de Cristo
4/21/2062,sexta-feira,Tiradentes
5/1/2062,segunda-feira,Dia do Trabalho
5/25/2062,quinta-feira,Corpus Christi
9/7/2062,quinta-feira,Independência do Brasil
10/12/2062,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2062,quinta-feira,Finados
11/15/2062,quarta-feira,Proclamação da República
12/25/2062,segunda-feira,Natal
1/1/2063,segunda-feira,Confraternização Universal
2/26/2063,segunda-feira,Carnaval
2/27/2063,terça-feira,Carnaval
4/13/2063,sexta-feira,Paixão de Cristo
4/21/2063,sábado,Tiradentes
5/1/2063,terça-feira,Dia do Trabalho
6/14/2063,quinta-feira,Corpus Christi
9/7/2063,sexta-feira,Independência do Brasil
10/12/2063,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2063,sexta-feira,Finados
11/15/2063,quinta-feira,Proclamação da República
12/25/2063,terça-feira,Natal
1/1/2064,terça-feira,Confraternização Universal
2/18/2064,segunda-feira,Carnaval
2/19/2064,terça-feira,Carnaval
4/4/2064,sexta-feira,Paixão de Cristo
4/21/2064,segunda-feira,Tiradentes
5/1/2064,quinta-feira,Dia do Trabalho
6/5/2064,quinta-feira,Corpus Christi
9/7/2064,domingo,Independência do Brasil
10/12/2064,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2064,domingo,Finados
11/15/2064,sábado,Proclamação da República
12/25/2064,quinta-feira,Natal
1/1/2065,quinta-feira,Confraternização Universal
2/9/2065,segunda-feira,Carnaval
2/10/2065,terça-feira,Carnaval
3/27/2065,sexta-feira,Paixão de Cristo
4/21/2065,terça-feira,Tiradentes
5/1/2065,sexta-feira,Dia do Trabalho
5/28/2065,quinta-feira,Corpus Christi
9/7/2065,segunda-feira,Independência do Brasil
10/12/2065,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2065,segunda-feira,Finados
11/15/2065,domingo,Proclamação da República
12/25/2065,sexta-feira,Natal
1/1/2066,sexta-feira,Confraternização Universal
2/22/2066,segunda-feira,Carnaval
2/23/2066,terça-feira,Carnaval
4/9/2066,sexta-feira,Paixão de Cristo
4/21/2066,quarta-feira,Tiradentes
5/1/2066,sábado,Dia do Trabalho
6/10/2066,quinta-feira,Corpus Christi
9/7/2066,terça-feira,Independência do Brasil
10/12/2066,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2066,terça-feira,Finados
11/15/2066,segunda-feira,Proclamação da República
12/25/2066,sábado,Natal
1/1/2067,sábado,Confraternização Universal
2/14/2067,segunda-feira,Carnaval
2/15/2067,terça-feira,Carnaval
4/1/2067,sexta-feira,Paixão de Cristo
4/21/2067,quinta-feira,Tiradentes
5/1/2067,domingo,Dia do Trabalho
6/2/2067,quinta-feira,Corpus Christi
9/7/2067,quarta-feira,Independência do Brasil
10/12/2067,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2067,quarta-feira,Finados
11/15/2067,terça-feira,Proclamação da República
12/25/2067,domingo,Natal
1/1/2068,domingo,Confraternização Universal
3/5/2068,segunda-feira,Carnaval
3/6/2068,terça-feira,Carnaval
4/20/2068,sexta-feira,Paixão de Cristo
4/21/2068,sábado,Tiradentes
5/1/2068,terça-feira,Dia do Trabalho
6/21/2068,quinta-feira,Corpus Christi
9/7/2068,sexta-feira,Independência do Brasil
10/12/2068,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2068,sexta-feira,Finados
11/15/2068,quinta-feira,Proclamação da República
12/25/2068,terça-feira,Natal
1/1/2069,terça-feira,Confraternização Universal
2/25/2069,segunda-feira,Carnaval
2/26/2069,terça-feira,Carnaval
4/12/2069,sexta-feira,Paixão de Cristo
4/21/2069,domingo,Tiradentes
5/1/2069,quarta-feira,Dia do Trabalho
6/13/2069,quinta-feira,Corpus Christi
9/7/2069,sábado,Independência do Brasil
10/12/2069,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2069,sábado,Finados
11/15/2069,sexta-feira,Proclamação da República
12/25/2069,quarta-feira,Natal
1/1/2070,quarta-feira,Confraternização Universal
2/10/2070,segunda-feira,Carnaval
2/11/2070,terça-feira,Carnaval
3/28/2070,sexta-feira,Paixão de Cristo
4/21/2070,segunda-feira,Tiradentes
5/1/2070,quinta-feira,Dia do Trabalho
5/29/2070,quinta-feira,Corpus Christi
9/7/2070,domingo,Independência do Brasil
10/12/2070,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2070,domingo,Finados
11/15/2070,sábado,Proclamação da República
12/25/2070,quinta-feira,Natal
1/1/2071,quinta-feira,Confraternização Universal
3/2/2071,segunda-feira,Carnaval
3/3/2071,terça-feira,Carnaval
4/17/2071,sexta-feira,Paixão de Cristo
4/21/2071,terça-feira,Tiradentes
5/1/2071,sexta-feira,Dia do Trabalho
6/18/2071,quinta-feira,Corpus Christi
9/7/2071,segunda-feira,Independência do Brasil
10/12/2071,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2071,segunda-feira,Finados
11/15/2071,domingo,Proclamação da República
12/25/2071,sexta-feira,Natal
1/1/2072,sexta-feira,Confraternização Universal
2/22/2072,segunda-feira,Carnaval
2/23/2072,terça-feira,Carnaval
4/8/2072,sexta-feira,Paixão de Cristo
4/21/2072,quinta-feira,Tiradentes
5/1/2072,domingo,Dia do Trabalho
6/9/2072,quinta-feira,Corpus Christi
9/7/2072,quarta-feira,Independência do Brasil
10/12/2072,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2072,quarta-feira,Finados
11/15/2072,terça-feira,Proclamação da República
12/25/2072,domingo,Natal
1/1/2073,domingo,Confraternização Universal
2/6/2073,segunda-feira,Carnaval
2/7/2073,terça-feira,Carnaval
3/24/2073,sexta-feira,Paixão de Cristo
4/21/2073,sexta-feira,Tiradentes
5/1/2073,segunda-feira,Dia do Trabalho
5/25/2073,quinta-feira,Corpus Christi
9/7/2073,quinta-feira,Independência do Brasil
10/12/2073,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2073,quinta-feira,Finados
11/15/2073,quarta-feira,Proclamação da República
12/25/2073,segunda-feira,Natal
1/1/2074,segunda-feira,Confraternização Universal
2/26/2074,segunda-feira,Carnaval
2/27/2074,terça-feira,Carnaval
4/13/2074,sexta-feira,Paixão de Cristo
4/21/2074,sábado,Tiradentes
5/1/2074,terça-feira,Dia do Trabalho
6/14/2074,quinta-feira,Corpus Christi
9/7/2074,sexta-feira,Independência do Brasil
10/12/2074,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2074,sexta-feira,Finados
11/15/2074,quinta-feira,Proclamação da República
12/25/2074,terça-feira,Natal
1/1/2075,terça-feira,Confraternização Universal
2/18/2075,segunda-feira,Carnaval
2/19/2075,terça-feira,Carnaval
4/5/2075,sexta-feira,Paixão de Cristo
4/21/2075,domingo,Tiradentes
5/1/2075,quarta-feira,Dia do Trabalho
6/6/2075,quinta-feira,Corpus Christi
9/7/2075,sábado,Independência do Brasil
10/12/2075,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2075,sábado,Finados
11/15/2075,sexta-feira,Proclamação da República
12/25/2075,quarta-feira,Natal
1/1/2076,quarta-feira,Confraternização Universal
3/2/2076,segunda-feira,Carnaval
3/3/2076,terça-feira,Carnaval
4/17/2076,sexta-feira,Paixão de Cristo
4/21/2076,terça-feira,Tiradentes
5/1/2076,sexta-feira,Dia do Trabalho
6/18/2076,quinta-feira,Corpus Christi
9/7/2076,segunda-feira,Independência do Brasil
10/12/2076,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2076,segunda-feira,Finados
11/15/2076,domingo,Proclamação da República
12/25/2076,sexta-feira,Natal
1/1/2077,sexta-feira,Confraternização Universal
2/22/2077,segunda-feira,Carnaval
2/23/2077,terça-feira,Carnaval
4/9/2077,sexta-feira,Paixão de Cristo
4/21/2077,quarta-feira,Tiradentes
5/1/2077,sábado,Dia do Trabalho
6/10/2077,quinta-feira,Corpus Christi
9/7/2077,terça-feira,Independência do Brasil
10/12/2077,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2077,terça-feira,Finados
11/15/2077,segunda-feira,Proclamação da República
12/25/2077,sábado,Natal
1/1/2078,sábado,Confraternização Universal
2/14/2078,segunda-feira,Carnaval
2/15/2078,terça-feira,Carnaval
4/1/2078,sexta-feira,Paixão de Cristo
4/21/2078,quinta-feira,Tiradentes
5/1/2078,domingo,Dia do Trabalho
6/2/2078,quinta-feira,Corpus Christi
9/7/2078,quarta-feira,Independência do Brasil
10/12/2078,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2078,quarta-feira,Finados
11/15/2078,terça-feira,Proclamação da República
12/25/2078,domingo,Natal
1/1/2079,domingo,Confraternização Universal
3/6/2079,segunda-feira,Carnaval
3/7/2079,terça-feira,Carnaval
4/21/2079,sexta-feira,Paixão de Cristo
4/21/2079,sexta-feira,Tiradentes
5/1/2079,segunda-feira,Dia do Trabalho
6/22/2079,quinta-feira,Corpus Christi
9/7/2079,quinta-feira,Independência do Brasil
10/12/2079,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2079,quinta-feira,Finados
11/15/2079,quarta-feira,Proclamação da República
12/25/2079,segunda-feira,Natal
1/1/2080,segunda-feira,Confraternização Universal
2/19/2080,segunda-feira,Carnaval
2/20/2080,terça-feira,Carnaval
4/5/2080,sexta-feira,Paixão de Cristo
4/21/2080,domingo,Tiradentes
5/1/2080,quarta-feira,Dia do Trabalho
6/6/2080,quinta-feira,Corpus Christi
9/7/2080,sábado,Independência do Brasil
10/12/2080,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2080,sábado,Finados
11/15/2080,sexta-feira,Proclamação da República
12/25/2080,quarta-feira,Natal
1/1/2081,quarta-feira,Confraternização Universal
2/10/2081,segunda-feira,Carnaval
2/11/2081,terça-feira,Carnaval
3/28/2081,sexta-feira,Paixão de Cristo
4/21/2081,segunda-feira,Tiradentes
5/1/2081,quinta-feira,Dia do Trabalho
5/29/2081,quinta-feira,Corpus Christi
9/7/2081,domingo,Independência do Brasil
10/12/2081,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2081,domingo,Finados
11/15/2081,sábado,Proclamação da República
12/25/2081,quinta-feira,Natal
1/1/2082,quinta-feira,Confraternização Universal
3/2/2082,segunda-feira,Carnaval
3/3/2082,terça-feira,Carnaval
4/17/2082,sexta-feira,Paixão de Cristo
4/21/2082,terça-feira,Tiradentes
5/1/2082,sexta-feira,Dia do Trabalho
6/18/2082,quinta-feira,Corpus Christi
9/7/2082,segunda-feira,Independência do Brasil
10/12/2082,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2082,segunda-feira,Finados
11/15/2082,domingo,Proclamação da República
12/25/2082,sexta-feira,Natal
1/1/2083,sexta-feira,Confraternização Universal
2/15/2083,segunda-feira,Carnaval
2/16/2083,terça-feira,Carnaval
4/2/2083,sexta-feira,Paixão de Cristo
4/21/2083,quarta-feira,Tiradentes
5/1/2083,sábado,Dia do Trabalho
6/3/2083,quinta-feira,Corpus Christi
9/7/2083,terça-feira,Independência do Brasil
10/12/2083,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2083,terça-feira,Finados
11/15/2083,segunda-feira,Proclamação da República
12/25/2083,sábado,Natal
1/1/2084,sábado,Confraternização Universal
2/7/2084,segunda-feira,Carnaval
2/8/2084,terça-feira,Carnaval
3/24/2084,sexta-feira,Paixão de Cristo
4/21/2084,sexta-feira,Tiradentes
5/1/2084,segunda-feira,Dia do Trabalho
5/25/2084,quinta-feira,Corpus Christi
9/7/2084,quinta-feira,Independência do Brasil
10/12/2084,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2084,quinta-feira,Finados
11/15/2084,quarta-feira,Proclamação da República
12/25/2084,segunda-feira,Natal
1/1/2085,segunda-feira,Confraternização Universal
2/26/2085,segunda-feira,Carnaval
2/27/2085,terça-feira,Carnaval
4/13/2085,sexta-feira,Paixão de Cristo
4/21/2085,sábado,Tiradentes
5/1/2085,terça-feira,Dia do Trabalho
6/14/2085,quinta-feira,Corpus Christi
9/7/2085,sexta-feira,Independência do Brasil
10/12/2085,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2085,sexta-feira,Finados
11/15/2085,quinta-feira,Proclamação da República
12/25/2085,terça-feira,Natal
1/1/2086,terça-feira,Confraternização Universal
2/11/2086,segunda-feira,Carnaval
2/12/2086,terça-feira,Carnaval
3/29/2086,sexta-feira,Paixão de Cristo
4/21/2086,domingo,Tiradentes
5/1/2086,quarta-feira,Dia do Trabalho
5/30/2086,quinta-feira,Corpus Christi
9/7/2086,sábado,Independência do Brasil
10/12/2086,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2086,sábado,Finados
11/15/2086,sexta-feira,Proclamação da República
12/25/2086,quarta-feira,Natal
1/1/2087,quarta-feira,Confraternização Universal
3/3/2087,segunda-feira,Carnaval
3/4/2087,terça-feira,Carnaval
4/18/2087,sexta-feira,Paixão de Cristo
4/21/2087,segunda-feira,Tiradentes
5/1/2087,quinta-feira,Dia do Trabalho
6/19/2087,quinta-feira,Corpus Christi
9/7/2087,domingo,Independência do Brasil
10/12/2087,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2087,domingo,Finados
11/15/2087,sábado,Proclamação da República
12/25/2087,quinta-feira,Natal
1/1/2088,quinta-feira,Confraternização Universal
2/23/2088,segunda-feira,Carnaval
2/24/2088,terça-feira,Carnaval
4/9/2088,sexta-feira,Paixão de Cristo
4/21/2088,quarta-feira,Tiradentes
5/1/2088,sábado,Dia do Trabalho
6/10/2088,quinta-feira,Corpus Christi
9/7/2088,terça-feira,Independência do Brasil
10/12/2088,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2088,terça-feira,Finados
11/15/2088,segunda-feira,Proclamação da República
12/25/2088,sábado,Natal
1/1/2089,sábado,Confraternização Universal
2/14/2089,segunda-feira,Carnaval
2/15/2089,terça-feira,Carnaval
4/1/2089,sexta-feira,Paixão de Cristo
4/21/2089,quinta-feira,Tiradentes
5/1/2089,domingo,Dia do Trabalho
6/2/2089,quinta-feira,Corpus Christi
9/7/2089,quarta-feira,Independência do Brasil
10/12/2089,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2089,quarta-feira,Finados
11/15/2089,terça-feira,Proclamação da República
12/25/2089,domingo,Natal
1/1/2090,domingo,Confraternização Universal
2/27/2090,segunda-feira,Carnaval
2/28/2090,terça-feira,Carnaval
4/14/2090,sexta-feira,Paixão de Cristo
4/21/2090,sexta-feira,Tiradentes
5/1/2090,segunda-feira,Dia do Trabalho
6/15/2090,quinta-feira,Corpus Christi
9/7/2090,quinta-feira,Independência do Brasil
10/12/2090,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2090,quinta-feira,Finados
11/15/2090,quarta-feira,Proclamação da República
12/25/2090,segunda-feira,Natal
1/1/2091,segunda-feira,Confraternização Universal
2/19/2091,segunda-feira,Carnaval
2/20/2091,terça-feira,Carnaval
4/6/2091,sexta-feira,Paixão de Cristo
4/21/2091,sábado,Tiradentes
5/1/2091,terça-feira,Dia do Trabalho
6/7/2091,quinta-feira,Corpus Christi
9/7/2091,sexta-feira,Independência do Brasil
10/12/2091,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2091,sexta-feira,Finados
11/15/2091,quinta-feira,Proclamação da República
12/25/2091,terça-feira,Natal
1/1/2092,terça-feira,Confraternização Universal
2/11/2092,segunda-feira,Carnaval
2/12/2092,terça-feira,Carnaval
3/28/2092,sexta-feira,Paixão de Cristo
4/21/2092,segunda-feira,Tiradentes
5/1/2092,quinta-feira,Dia do Trabalho
5/29/2092,quinta-feira,Corpus Christi
9/7/2092,domingo,Independência do Brasil
10/12/2092,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2092,domingo,Finados
11/15/2092,sábado,Proclamação da República
12/25/2092,quinta-feira,Natal
1/1/2093,quinta-feira,Confraternização Universal
2/23/2093,segunda-feira,Carnaval
2/24/2093,terça-feira,Carnaval
4/10/2093,sexta-feira,Paixão de Cristo
4/21/2093,terça-feira,Tiradentes
5/1/2093,sexta-feira,Dia do Trabalho
6/11/2093,quinta-feira,Corpus Christi
9/7/2093,segunda-feira,Independência do Brasil
10/12/2093,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2093,segunda-feira,Finados
11/15/2093,domingo,Proclamação da República
12/25/2093,sexta-feira,Natal
1/1/2094,sexta-feira,Confraternização Universal
2/15/2094,segunda-feira,Carnaval
2/16/2094,terça-feira,Carnaval
4/2/2094,sexta-feira,Paixão de Cristo
4/21/2094,quarta-feira,Tiradentes
5/1/2094,sábado,Dia do Trabalho
6/3/2094,quinta-feira,Corpus Christi
9/7/2094,terça-feira,Independência do Brasil
10/12/2094,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2094,terça-feira,Finados
11/15/2094,segunda-feira,Proclamação da República
12/25/2094,sábado,Natal
1/1/2095,sábado,Confraternização Universal
3/7/2095,segunda-feira,Carnaval
3/8/2095,terça-feira,Carnaval
4/21/2095,quinta-feira,Tiradentes
4/22/2095,sexta-feira,Paixão de Cristo
5/1/2095,domingo,Dia do Trabalho
6/23/2095,quinta-feira,Corpus Christi
9/7/2095,quarta-feira,Independência do Brasil
10/12/2095,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2095,quarta-feira,Finados
11/15/2095,terça-feira,Proclamação da República
12/25/2095,domingo,Natal
1/1/2096,domingo,Confraternização Universal
2/27/2096,segunda-feira,Carnaval
2/28/2096,terça-feira,Carnaval
4/13/2096,sexta-feira,Paixão de Cristo
4/21/2096,sábado,Tiradentes
5/1/2096,terça-feira,Dia do Trabalho
6/14/2096,quinta-feira,Corpus Christi
9/7/2096,sexta-feira,Independência do Brasil
10/12/2096,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2096,sexta-feira,Finados
11/15/2096,quinta-feira,Proclamação da República
12/25/2096,terça-feira,Natal
1/1/2097,terça-feira,Confraternização Universal
2/11/2097,segunda-feira,Carnaval
2/12/2097,terça-feira,Carnaval
3/29/2097,sexta-feira,Paixão de Cristo
4/21/2097,domingo,Tiradentes
5/1/2097,quarta-feira,Dia do Trabalho
5/30/2097,quinta-feira,Corpus Christi
9/7/2097,sábado,Independência do Brasil
10/12/2097,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2097,sábado,Finados
11/15/2097,sexta-feira,Proclamação da República
12/25/2097,quarta-feira,Natal
1/1/2098,quarta-feira,Confraternização Universal
3/3/2098,segunda-feira,Carnaval
3/4/2098,terça-feira,Carnaval
4/18/2098,sexta-feira,Paixão de Cristo
4/21/2098,segunda-feira,Tiradentes
5/1/2098,quinta-feira,Dia do Trabalho
6/19/2098,quinta-feira,Corpus Christi
9/7/2098,domingo,Independência do Brasil
10/12/2098,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2098,domingo,Finados
11/15/2098,sábado,Proclamação da República
12/25/2098,quinta-feira,Natal
1/1/2099,quinta-feira,Confraternização Universal
2/23/2099,segunda-feira,Carnaval
2/24/2099,terça-feira,Carnaval
4/10/2099,sexta-feira,Paixão de Cristo
4/21/2099,terça-feira,Tiradentes
5/1/2099,sexta-feira,Dia do Trabalho
6/11/2099,quinta-feira,Corpus Christi
9/7/2099,segunda-feira,Independência do Brasil
10/12/2099,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2099,segunda-feira,Finados
11/15/2099,domingo,Proclamação da República
12/25/2099,sexta-feira,Natal
