Data,Dia da Semana,Feriado
12/25/2012,terça-feira,Natal
1/1/2013,terça-feira,Confraternização Universal
2/11/2013,segunda-feira,Carnaval
2/12/2013,terça-feira,Carnaval
3/29/2013,sexta-feira,Paixão de Cristo
4/21/2013,domingo,Tiradentes
5/1/2013,quarta-feira,Dia do Trabalho
5/30/2013,quinta-feira,Corpus Christi
9/7/2013,sábado,Independência do Brasil
10/12/2013,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2013,sábado,Finados
11/15/2013,sexta-feira,Proclamação da República
12/25/2013,quarta-feira,Natal
1/1/2014,quarta-feira,Confraternização Universal
3/3/2014,segunda-feira,Carnaval
3/4/2014,terça-feira,Carnaval
4/18/2014,sexta-feira,Paixão de Cristo
4/21/2014,segunda-feira,Tiradentes
5/1/2014,quinta-feira,Dia do Trabalho
6/19/2014,quinta-feira,Corpus Christi
9/7/2014,domingo,Independência do Brasil
10/12/2014,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2014,domingo,Finados
11/15/2014,sábado,Proclamação da República
12/25/2014,quinta-feira,Natal
1/1/2015,quinta-feira,Confraternização Universal
2/16/2015,segunda-feira,Carnaval
2/17/2015,terça-feira,Carnaval
4/3/2015,sexta-feira,Paixão de Cristo
4/21/2015,terça-feira,Tiradentes
5/1/2015,sexta-feira,Dia do Trabalho
6/4/2015,quinta-feira,Corpus Christi
9/7/2015,segunda-feira,Independência do Brasil
10/12/2015,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2015,segunda-feira,Finados
11/15/2015,domingo,Proclamação da República
12/25/2015,sexta-feira,Natal
1/1/2016,sexta-feira,Confraternização Universal
2/8/2016,segunda-feira,Carnaval
2/9/2016,terça-feira,Carnaval
3/25/2016,sexta-feira,Paixão de Cristo
4/21/2016,quinta-feira,Tiradentes
5/1/2016,domingo,Dia do Trabalho
5/26/2016,quinta-feira,Corpus Christi
9/7/2016,quarta-feira,Independência do Brasil
10/12/2016,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2016,quarta-feira,Finados
11/15/2016,terça-feira,Proclamação da República
12/25/2016,domingo,Natal
